location,iso_code,continent,total_deaths
Afghanistan,AFG,Asia,7609
Albania,ALB,Europe,3472
Algeria,DZA,Africa,6840
Andorra,AND,Europe,151
Angola,AGO,Africa,1900
Anguilla,AIA,North America,9
Antigua and Barbuda,ATG,North America,135
Argentina,ARG,South America,126257
Armenia,ARM,Asia,8478
Aruba,ABW,North America,211
Australia,AUS,Oceania,5269
Austria,AUT,Europe,14841
Azerbaijan,AZE,Asia,9438
Bahamas,BHS,North America,771
Bahrain,BHR,Asia,1455
Bangladesh,BGD,Asia,29045
Barbados,BRB,North America,316
Belarus,BLR,Europe,6493
Belgium,BEL,Europe,30199
Belize,BLZ,North America,650
Benin,BEN,Africa,163
Bermuda,BMU,North America,123
Bhutan,BTN,Asia,6
Bolivia,BOL,South America,21441
Bonaire Sint Eustatius and Saba,BES,North America,31
Bosnia and Herzegovina,BIH,Europe,15470
Botswana,BWA,Africa,2619
Brazil,BRA,South America,649922
British Virgin Islands,VGB,North America,62
Brunei,BRN,Asia,127
Bulgaria,BGR,Europe,35637
Burkina Faso,BFA,Africa,375
Burundi,BDI,Africa,38
Cambodia,KHM,Asia,3032
Cameroon,CMR,Africa,1923
Canada,CAN,North America,36706
Cape Verde,CPV,Africa,401
Cayman Islands,CYM,North America,17
Central African Republic,CAF,Africa,113
Chad,TCD,Africa,190
Chile,CHL,South America,42353
China,CHN,Asia,4636
Colombia,COL,South America,138854
Comoros,COM,Africa,160
Congo,COG,Africa,378
Cook Islands,COK,Oceania,0
Costa Rica,CRI,North America,8047
Cote d'Ivoire,CIV,Africa,793
Croatia,HRV,Europe,15101
Cuba,CUB,North America,8495
Curacao,CUW,North America,261
Cyprus,CYP,Europe,857
Czechia,CZE,Europe,38685
Democratic Republic of Congo,COD,Africa,1335
Denmark,DNK,Europe,4649
Djibouti,DJI,Africa,189
Dominica,DMA,North America,57
Dominican Republic,DOM,North America,4369
Ecuador,ECU,South America,35223
Egypt,EGY,Africa,24110
El Salvador,SLV,North America,4074
Equatorial Guinea,GNQ,Africa,182
Eritrea,ERI,Africa,103
Estonia,EST,Europe,2250
Eswatini,SWZ,Africa,1390
Ethiopia,ETH,Africa,7463
Faeroe Islands,FRO,Europe,28
Falkland Islands,FLK,South America,0
Fiji,FJI,Oceania,834
Finland,FIN,Europe,2380
France,FRA,Europe,138645
French Polynesia,PYF,Oceania,641
Gabon,GAB,Africa,303
Gambia,GMB,Africa,365
Georgia,GEO,Asia,16199
Germany,DEU,Europe,123024
Ghana,GHA,Africa,1442
Gibraltar,GIB,Europe,101
Greece,GRC,Europe,25914
Greenland,GRL,North America,19
Grenada,GRD,North America,216
Guatemala,GTM,North America,17010
Guernsey,GGY,Europe,0
Guinea,GIN,Africa,440
Guinea-Bissau,GNB,Africa,167
Guyana,GUY,South America,1220
Haiti,HTI,North America,820
Honduras,HND,North America,10778
Hong Kong,HKG,Asia,990
Hungary,HUN,Europe,44051
Iceland,ISL,Europe,65
India,IND,Asia,514246
Indonesia,IDN,Asia,148660
Iran,IRN,Asia,137064
Iraq,IRQ,Asia,24999
Ireland,IRL,Europe,6508
Isle of Man,IMN,Europe,80
Israel,ISR,Asia,10218
Italy,ITA,Europe,155000
Jamaica,JAM,North America,2814
Japan,JPN,Asia,23905
Jersey,JEY,Europe,0
Jordan,JOR,Asia,13849
Kazakhstan,KAZ,Asia,18947
Kenya,KEN,Africa,5639
Kiribati,KIR,Oceania,11
Kosovo,OWID_KOS,Europe,3115
Kuwait,KWT,Asia,2539
Kyrgyzstan,KGZ,Asia,2958
Laos,LAO,Asia,623
Latvia,LVA,Europe,5256
Lebanon,LBN,Asia,10104
Lesotho,LSO,Africa,696
Liberia,LBR,Africa,294
Libya,LBY,Africa,6269
Liechtenstein,LIE,Europe,78
Lithuania,LTU,Europe,8397
Luxembourg,LUX,Europe,992
Macao,MAC,Asia,0
Madagascar,MDG,Africa,1366
Malawi,MWI,Africa,2615
Malaysia,MYS,Asia,32827
Maldives,MDV,Asia,297
Mali,MLI,Africa,722
Malta,MLT,Europe,605
Marshall Islands,MHL,Oceania,0
Mauritania,MRT,Africa,979
Mauritius,MUS,Africa,904
Mexico,MEX,North America,318531
Micronesia (country),FSM,Oceania,0
Moldova,MDA,Europe,11228
Monaco,MCO,Europe,51
Mongolia,MNG,Asia,2171
Montenegro,MNE,Europe,2682
Montserrat,MSR,North America,2
Morocco,MAR,Africa,15994
Mozambique,MOZ,Africa,2192
Myanmar,MMR,Asia,19372
Namibia,NAM,Africa,4007
Nepal,NPL,Asia,11938
Netherlands,NLD,Europe,21676
New Caledonia,NCL,Oceania,300
New Zealand,NZL,Oceania,56
Nicaragua,NIC,North America,224
Niger,NER,Africa,307
Nigeria,NGA,Africa,3142
North Macedonia,MKD,Europe,9027
Norway,NOR,Europe,1599
Oman,OMN,Asia,4244
Pakistan,PAK,Asia,30218
Palau,PLW,Oceania,6
Palestine,PSE,Asia,5513
Panama,PAN,North America,8093
Papua New Guinea,PNG,Oceania,638
Paraguay,PRY,South America,18392
Peru,PER,South America,210744
Philippines,PHL,Asia,56451
Poland,POL,Europe,111586
Portugal,PRT,Europe,21086
Qatar,QAT,Asia,670
Romania,ROU,Europe,63578
Russia,RUS,Europe,345427
Rwanda,RWA,Africa,1457
Saint Helena,SHN,Africa,0
Saint Kitts and Nevis,KNA,North America,42
Saint Lucia,LCA,North America,358
Saint Pierre and Miquelon,SPM,North America,1
Saint Vincent and the Grenadines,VCT,North America,106
Samoa,WSM,Oceania,0
San Marino,SMR,Europe,112
Sao Tome and Principe,STP,Africa,72
Saudi Arabia,SAU,Asia,9001
Senegal,SEN,Africa,1960
Serbia,SRB,Europe,15280
Seychelles,SYC,Africa,163
Sierra Leone,SLE,Africa,125
Singapore,SGP,Asia,1030
Slovakia,SVK,Europe,18530
Slovenia,SVN,Europe,6318
Solomon Islands,SLB,Oceania,106
Somalia,SOM,Africa,1348
South Africa,ZAF,Africa,99430
South Korea,KOR,Asia,8266
South Sudan,SSD,Africa,137
Spain,ESP,Europe,99883
Sri Lanka,LKA,Asia,16244
Sudan,SDN,Africa,3909
Suriname,SUR,South America,1317
Sweden,SWE,Europe,17242
Switzerland,CHE,Europe,13110
Syria,SYR,Asia,3079
Taiwan,TWN,Asia,853
Tajikistan,TJK,Asia,125
Tanzania,TZA,Africa,798
Thailand,THA,Asia,23021
Timor,TLS,Asia,128
Togo,TGO,Africa,272
Tonga,TON,Oceania,0
Trinidad and Tobago,TTO,North America,3632
Tunisia,TUN,Africa,27784
Turkey,TUR,Asia,94648
Turks and Caicos Islands,TCA,North America,36
Uganda,UGA,Africa,3588
Ukraine,UKR,Europe,112459
United Arab Emirates,ARE,Asia,2301
United Kingdom,GBR,Europe,161773
United States,USA,North America,952808
Uruguay,URY,South America,6991
Uzbekistan,UZB,Asia,1636
Vanuatu,VUT,Oceania,1
Vatican,VAT,Europe,0
Venezuela,VEN,South America,5636
Vietnam,VNM,Asia,40338
Wallis and Futuna,WLF,Oceania,7
Yemen,YEM,Asia,2135
Zambia,ZMB,Africa,3953
Zimbabwe,ZWE,Africa,5395